# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202504010000 131  29  0.7  -9 -9.0   -9 1018.2 1025.4  1   0.9   7.7  -2.3  49.0   5.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 Ci         1   0   0  2471 -9.0 -9.00 -9   5.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010100 131  29  0.7  -9 -9.0   -9 1018.2 1025.5 -9  -9.0   6.8  -1.8  54.0   5.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   3   53 -         -9  -9  -9  2341 -9.0 -9.00 -9   5.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504010200 131  29  0.7  -9 -9.0   -9 1018.2 1025.5 -9  -9.0   6.0  -1.6  58.0   5.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2040 -9.0 -9.00 -9   4.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504010300 131  29  0.5  -9 -9.0   -9 1017.8 1025.1  8  -0.3   5.6  -1.1  62.0   5.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1658 -9.0 -9.00 -9   3.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010400 131  23  0.6  -9 -9.0   -9 1017.7 1025.0 -9  -9.0   4.9  -0.3  69.0   6.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1260 -9.0 -9.00 -9   3.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010500 131  20  0.6  -9 -9.0   -9 1017.6 1024.9 -9  -9.0   4.5  -1.5  65.0   5.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1723 -9.0 -9.00 -9   3.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010600 131   0  0.3  -9 -9.0   -9 1017.6 1025.0  5  -0.1   3.4  -0.9  73.0   5.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1150 -9.0 -9.00 -9   2.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010700 131   0  0.4  -9 -9.0   -9 1017.9 1025.3 -9  -9.0   3.4  -1.1  72.0   5.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1115  0.0  0.02 -9   3.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010800 131  29  0.8  -9 -9.0   -9 1018.0 1025.3 -9  -9.0   4.8  -0.6  68.0   5.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1097  1.0  0.54 -9   8.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504010900 131  20  0.6  -9 -9.0   -9 1018.1 1025.4  2   0.4   6.9  -0.1  61.0   6.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1117  1.0  1.33 -9  16.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011000 131  27  1.1  -9 -9.0   -9 1017.8 1025.0 -9  -9.0   9.2   1.1  57.0   6.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1054  1.0  2.07 -9  22.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011100 131  29  1.0  -9 -9.0   -9 1017.3 1024.4 -9  -9.0  11.8  -1.0  41.0   5.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1419  1.0  2.67 -9  28.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011200 131   7  2.3  -9 -9.0   -9 1016.1 1023.2  7  -2.2  13.6  -3.6  30.0   4.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1750  1.0  3.14 -9  33.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011300 131  23  1.2  -9 -9.0   -9 1015.0 1022.0 -9  -9.0  15.6  -4.9  24.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2795  1.0  3.34 -9  34.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011400 131  27  1.2  -9 -9.0   -9 1014.0 1021.0 -9  -9.0  15.9  -5.2  23.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2844  1.0  3.20 -9  35.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011500 131  29  1.8  -9 -9.0   -9 1013.2 1020.2  7  -3.0  16.9  -5.6  21.0   4.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3115  1.0  2.86 -9  33.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011600 131  27  2.3  -9 -9.0   -9 1012.4 1019.4 -9  -9.0  17.5  -6.4  19.0   3.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3629  1.0  2.28 -9  29.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011700 131  27  1.5  -9 -9.0   -9 1011.9 1018.9 -9  -9.0  16.7  -7.7  18.0   3.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3690  1.0  1.60 -9  23.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011800 131  25  1.1  -9 -9.0   -9 1011.9 1018.9  6  -1.3  16.3  -7.4  19.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4157  1.0  0.75 -9  16.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504011900 131  27  2.4  -9 -9.0   -9 1012.1 1019.2 -9  -9.0  14.0  -2.8  31.0   5.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2252  0.3  0.07 -9  12.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012000 131  27  1.1  -9 -9.0   -9 1012.8 1019.9 -9  -9.0  12.1  -4.9  30.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2775 -9.0 -9.00 -9  10.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012100 131  20  0.5  -9 -9.0   -9 1013.4 1020.5  2   1.6  11.3  -5.2  31.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2602 -9.0 -9.00 -9   8.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504012200 131  27  0.7  -9 -9.0   -9 1013.5 1020.7 -9  -9.0  10.6  -5.0  33.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2774 -9.0 -9.00 -9   7.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504012300 131  29  0.6  -9 -9.0   -9 1013.7 1020.9 -9  -9.0  10.1  -4.7  35.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2478 -9.0 -9.00 -9   6.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020000 131   0  0.1  -9 -9.0   -9 1013.8 1021.0  2   0.5   8.9  -5.7  35.0   4.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2698 -9.0 -9.00 -9   5.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020100 131  29  0.9  -9 -9.0   -9 1014.0 1021.2 -9  -9.0   8.3  -5.5  37.0   4.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2579 -9.0 -9.00 -9   5.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020200 131  20  0.6  -9 -9.0   -9 1014.0 1021.2 -9  -9.0   7.4  -5.3  40.0   4.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2517 -9.0 -9.00 -9   4.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202504020300 131  29  0.5  -9 -9.0   -9 1013.5 1020.8  8  -0.2   6.5  -5.8  41.0   4.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2577 -9.0 -9.00 -9   4.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020400 131   0  0.2  -9 -9.0   -9 1013.3 1020.6 -9  -9.0   5.4  -4.4  49.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2341 -9.0 -9.00 -9   3.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020500 131  27  0.6  -9 -9.0   -9 1013.0 1020.3 -9  -9.0   5.6  -3.7  51.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2120 -9.0 -9.00 -9   3.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020600 131   0  0.2  -9 -9.0   -9 1013.0 1020.3  6  -0.5   4.2  -4.0  55.0   4.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2041 -9.0 -9.00 -9   3.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020700 131  27  0.5  -9 -9.0   -9 1013.4 1020.7 -9  -9.0   5.0  -4.3  51.0   4.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2024  0.2  0.03 -9   4.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020800 131  32  0.5  -9 -9.0   -9 1013.1 1020.4 -9  -9.0   6.4  -3.0  51.0   4.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1692  1.0  0.59 -9   9.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202504020900 131  25  1.2  -9 -9.0   -9 1013.1 1020.3  4   0.0   8.6  -2.0  47.0   5.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1617  1.0  1.36 -9  16.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
