#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202409100100 236   0  0.0  -9 -9.0   -9 1011.7 1013.2 -9  -9.0  24.8  23.7  94.0  29.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1011 -9.0 -9.00 -9  27.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100200 236   0  0.0  -9 -9.0   -9 1011.5 1013.0 -9  -9.0  24.8  23.7  94.0  29.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   1   20 -         -9  -9  -9   980 -9.0 -9.00 -9  27.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100300 236   0  0.3  -9 -9.0   -9 1011.5 1013.0  6  -0.2  24.7  23.8  95.0  29.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   819 -9.0 -9.00 -9  27.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100400 236   0  0.1  -9 -9.0   -9 1011.6 1013.1 -9  -9.0  24.3  23.7  97.0  29.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   528 -9.0 -9.00 -9  26.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100500 236   0  0.2  -9 -9.0   -9 1011.7 1013.2 -9  -9.0  24.0  23.6  98.0  29.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   514 -9.0 -9.00 -9  26.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100600 236   0  0.1  -9 -9.0   -9 1012.0 1013.5  2   0.5  23.9  23.5  98.0  28.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   428 -9.0 -9.00 -9  26.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100700 236   0  0.2  -9 -9.0   -9 1012.5 1014.0 -9  -9.0  24.4  23.7  96.0  29.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9   596  0.1 -9.00 -9  26.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100800 236   5  0.9  -9 -9.0   -9 1012.7 1014.2 -9  -9.0  26.3  22.9  82.0  27.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1774  1.0 -9.00 -9  27.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409100900 236  36  0.7  -9 -9.0   -9 1013.3 1014.8  2   1.3  28.2  23.1  74.0  28.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3016  1.0 -9.00 -9  30.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101000 236  36  0.6  -9 -9.0   -9 1013.1 1014.6 -9  -9.0  29.7  23.3  69.0  28.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3484  1.0 -9.00 -9  34.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101100 236  20  0.7  -9 -9.0   -9 1012.7 1014.2 -9  -9.0  31.3  23.6  64.0  29.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3838  1.0 -9.00 -9  38.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101200 236  36  0.5  -9 -9.0   -9 1012.0 1013.5  7  -1.3  33.3  22.1  52.0  26.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4475  1.0 -9.00 -9  41.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101300 236  25  0.8  -9 -9.0   -9 1011.7 1013.2 -9  -9.0  33.7  21.8  50.0  26.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   2   14 -         -9  -9  -9  4709  1.0 -9.00 -9  42.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101400 236  36  0.6  -9 -9.0   -9 1011.0 1012.5 -9  -9.0  34.2  21.6  48.0  25.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   1   16 -         -9  -9  -9  4880  0.8 -9.00 -9  41.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101500 236   2  0.8  -9 -9.0   -9 1010.7 1012.2  7  -1.3  35.1  21.0  44.0  24.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  4996  0.9 -9.00 -9  40.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101600 236  29  0.8  -9 -9.0   -9 1010.4 1011.9 -9  -9.0  35.3  21.1  44.0  25.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4979  0.8 -9.00 -9  38.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101700 236  34  1.0  -9 -9.0   -9 1010.3 1011.8 -9  -9.0  34.5  22.5  50.0  27.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4953  1.0 -9.00 -9  36.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101800 236  34  0.6  -9 -9.0   -9 1010.5 1012.0  5  -0.2  33.3  23.6  57.0  29.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3926  1.0 -9.00 -9  34.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409101900 236  34  0.5  -9 -9.0   -9 1010.9 1012.4 -9  -9.0  30.7  24.3  69.0  30.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2818  0.4 -9.00 -9  32.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102000 236  34  0.6  -9 -9.0   -9 1011.8 1013.3 -9  -9.0  29.5  24.5  75.0  30.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1703 -9.0 -9.00 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102100 236  34  0.6  -9 -9.0   -9 1012.4 1013.9  2   1.9  28.5  24.4  79.0  30.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1604 -9.0 -9.00 -9  30.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102200 236   0  0.4  -9 -9.0   -9 1012.6 1014.1 -9  -9.0  27.3  23.5  80.0  28.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1549 -9.0 -9.00 -9  29.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409102300 236  34  0.5  -9 -9.0   -9 1012.9 1014.4 -9  -9.0  26.6  22.8  80.0  27.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1881 -9.0 -9.00 -9  28.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202409110000 236   0  0.0  -9 -9.0   -9 1013.1 1014.6  2   0.7  25.5  22.7  85.0  27.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1826 -9.0 -9.00 -9  28.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
