# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202411100000 236   0  0.0  -9 -9.0   -9 1023.9 1025.5  8  -0.3   9.7   8.9  95.0  11.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9  1072 -9.0 -9.00 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100100 236   0  0.1  -9 -9.0   -9 1023.4 1025.0 -9  -9.0   9.3   8.6  96.0  11.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9   904 -9.0 -9.00 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100200 236   0  0.0  -9 -9.0   -9 1023.4 1025.0 -9  -9.0   9.6   8.5  93.0  11.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9  1040 -9.0 -9.00 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100300 236  27  0.8  -9 -9.0   -9 1023.4 1025.0  6  -0.5   9.3   8.6  96.0  11.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   0   -9 -         -9  -9  -9   672 -9.0 -9.00 -9   9.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100400 236   0  0.1  -9 -9.0   -9 1022.8 1024.5 -9  -9.0   8.9   8.4  97.0  11.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9   571 -9.0 -9.00 -9   9.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100500 236   0  0.3  -9 -9.0   -9 1022.8 1024.5 -9  -9.0   8.7   8.5  99.0  11.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   0   -9 -         -9  -9  -9   422 -9.0 -9.00 -9   9.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100600 236   0  0.1  -9 -9.0   -9 1022.9 1024.6  5  -0.4   9.0   8.8  99.0  11.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1   53 -         -9  -9  -9   458 -9.0 -9.00 -9   9.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100700 236   0  0.1  -9 -9.0   -9 1022.2 1023.9 -9  -9.0   8.9   8.7  99.0  11.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   5   48 -         -9  -9  -9   432 -9.0 -9.00 -9   9.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100800 236  27  0.5  -9 -9.0   -9 1022.9 1024.5 -9  -9.0   9.8   9.4  98.0  11.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   1   61 -         -9  -9  -9   705  0.0 -9.00 -9  10.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202411100900 236   0  0.3  -9 -9.0   -9 1022.8 1024.4  5  -0.2  11.2  10.4  95.0  12.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   8   43 -         -9  -9  -9   676  0.0 -9.00 -9  13.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
