# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202507101000 181   2  2.8  -9 -9.0   -9 1008.2 1012.0 -9  -9.0  30.1  16.1  43.0  18.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.63 -9  38.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101100 181   9  2.1  -9 -9.0   -9 1007.8 1011.5 -9  -9.0  31.9  14.5  35.0  16.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4938  1.0  3.10 -9  42.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101200 181  11  4.0  -9 -9.0   -9 1007.4 1011.1  7  -0.9  33.0  18.7  43.0  21.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.43 -9  43.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101300 181   9  3.0  -9 -9.0   -9 1006.9 1010.6 -9  -9.0  33.4  14.4  32.0  16.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.56 -9  45.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101400 181   7  3.1  -9 -9.0   -9 1006.6 1010.3 -9  -9.0  34.0  15.9  34.0  18.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  3.49 -9  45.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101500 181  14  3.7  -9 -9.0   -9 1006.1 1009.8  7  -1.3  34.5  17.6  37.0  20.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0  3.19 -9  43.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101600 181  11  2.2  -9 -9.0   -9 1005.8 1009.5 -9  -9.0  34.9  17.6  36.0  20.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000  1.0  2.68 -9  41.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101700 181   9  3.1  -9 -9.0   -9 1005.5 1009.2 -9  -9.0  34.3  18.3  39.0  21.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000  1.0  2.04 -9  39.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101800 181  16  1.8  -9 -9.0   -9 1005.5 1009.2  6  -0.6  33.8  19.0  42.0  22.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0  1.34 -9  36.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507101900 181  18  1.9  -9 -9.0   -9 1005.7 1009.4 -9  -9.0  32.2  19.4  47.0  22.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0  0.62 -9  33.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507102000 181  18  3.0  -9 -9.0   -9 1006.1 1009.9 -9  -9.0  30.9  17.9  46.0  20.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  0.4  0.10 -9  31.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507102100 181  16  2.0  -9 -9.0   -9 1007.0 1010.8  2   1.6  29.6  17.4  48.0  19.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  30.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507102200 181  16  3.2  -9 -9.0   -9 1007.9 1011.7 -9  -9.0  29.0  15.5  44.0  17.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  4718 -9.0 -9.00 -9  28.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507102300 181  16  2.5  -9 -9.0   -9 1008.6 1012.4 -9  -9.0  28.2  13.6  41.0  15.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  27.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110000 181  14  1.5  -9 -9.0   -9 1008.6 1012.4  1   1.6  26.8  13.8  45.0  15.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  26.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110100 181  11  1.3  -9 -9.0   -9 1008.5 1012.3 -9  -9.0  25.8  13.2  46.0  15.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  26.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110200 181   7  0.9  -9 -9.0   -9 1008.5 1012.4 -9  -9.0  23.9  14.0  54.0  16.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  25.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110300 181  11  1.1  -9 -9.0   -9 1008.3 1012.2  7  -0.2  24.1  13.9  53.0  15.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  24.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110400 181   7  2.5  -9 -9.0   -9 1008.3 1012.2 -9  -9.0  23.6  15.1  59.0  17.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  24.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110500 181   9  2.0  -9 -9.0   -9 1008.7 1012.6 -9  -9.0  23.1  14.6  59.0  16.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  23.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202507110600 181   7  2.4  -9 -9.0   -9 1009.2 1013.1  2   0.9  22.5  15.5  65.0  17.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  4999  0.2  0.05 -9  23.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
