house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_direction,wind_speed,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,temperature,humidity,solar_irradiance,solar_time,rain_per_hour,snow_per_hour
,,,2025-06-10,00:00:04,23.1,83.2,,,,11,,1.3,,,,,,,,,21.3,90.0,,,0.0,0.0
,,,2025-06-10,00:05:02,23.0,83.5,,,,10,,1.17,,,,,,,,,21.21,90.45,,,0.0,0.0
,,,2025-06-10,00:10:01,22.9,83.4,,,,10,,1.06,,,,,,,,,21.13,90.82,,,0.0,0.0
,,,2025-06-10,00:15:20,22.9,84.2,,,,9,,0.95,,,,,,,,,21.06,91.14,,,0.0,0.0
,,,2025-06-10,00:20:08,22.9,84.5,,,,8,,0.84,,,,,,,,,21.0,91.4,,,0.0,0.0
,,,2025-06-10,00:25:06,22.9,84.1,,,,7,,0.75,,,,,,,,,20.95,91.61,,,0.0,0.0
,,,2025-06-10,00:30:04,22.8,84.1,,,,6,,0.67,,,,,,,,,20.91,91.77,,,0.0,0.0
,,,2025-06-10,00:35:03,22.7,84.3,,,,4,,0.6,,,,,,,,,20.88,91.89,,,0.0,0.0
,,,2025-06-10,00:40:01,22.7,84.5,,,,3,,0.53,,,,,,,,,20.85,91.97,,,0.0,0.0
,,,2025-06-10,00:45:10,22.7,84.6,,,,2,,0.48,,,,,,,,,20.83,92.01,,,0.0,0.0
,,,2025-06-10,00:50:08,22.7,84.8,,,,1,,0.44,,,,,,,,,20.82,92.03,,,0.0,0.0
,,,2025-06-10,00:55:06,22.6,84.7,,,,1,,0.41,,,,,,,,,20.81,92.02,,,0.0,0.0
,,,2025-06-10,01:00:05,22.5,85.0,,,,0,,0.4,,,,,,,,,20.8,92.0,,,0.0,0.0
,,,2025-06-10,01:05:03,22.5,85.2,,,,35,,0.4,,,,,,,,,20.79,91.96,,,0.0,0.0
,,,2025-06-10,01:10:01,22.5,85.0,,,,35,,0.42,,,,,,,,,20.79,91.91,,,0.0,0.0
,,,2025-06-10,01:15:10,22.5,85.2,,,,34,,0.45,,,,,,,,,20.78,91.86,,,0.0,0.0
,,,2025-06-10,01:20:08,22.4,85.0,,,,33,,0.5,,,,,,,,,20.78,91.81,,,0.0,0.0
,,,2025-06-10,01:25:07,22.3,85.0,,,,32,,0.55,,,,,,,,,20.77,91.77,,,0.0,0.0
,,,2025-06-10,01:30:05,22.3,84.8,,,,32,,0.6,,,,,,,,,20.76,91.73,,,0.0,0.0
,,,2025-06-10,01:35:03,22.3,85.0,,,,31,,0.66,,,,,,,,,20.75,91.71,,,0.0,0.0
,,,2025-06-10,01:40:02,22.2,86.8,,,,30,,0.71,,,,,,,,,20.73,91.71,,,0.0,0.0
,,,2025-06-10,01:45:00,22.3,86.5,,,,29,,0.75,,,,,,,,,20.71,91.73,,,0.0,0.0
,,,2025-06-10,01:50:09,22.4,86.2,,,,28,,0.78,,,,,,,,,20.68,91.79,,,0.0,0.0
,,,2025-06-10,01:55:07,22.4,85.9,,,,28,,0.8,,,,,,,,,20.64,91.87,,,0.0,0.0
,,,2025-06-10,02:00:05,22.4,85.8,,,,27,,0.8,,,,,,,,,20.6,92.0,,,0.0,0.0
,,,2025-06-10,02:05:03,22.3,85.6,,,,28,,0.78,,,,,,,,,20.55,92.17,,,0.0,0.0
,,,2025-06-10,02:10:02,22.3,85.5,,,,28,,0.75,,,,,,,,,20.49,92.37,,,0.0,0.0
,,,2025-06-10,02:15:00,22.3,85.3,,,,29,,0.71,,,,,,,,,20.42,92.59,,,0.0,0.0
,,,2025-06-10,02:20:09,22.2,85.4,,,,30,,0.67,,,,,,,,,20.35,92.83,,,0.0,0.0
,,,2025-06-10,02:25:07,22.1,85.5,,,,31,,0.62,,,,,,,,,20.28,93.07,,,0.0,0.0
,,,2025-06-10,02:30:06,22.1,85.7,,,,32,,0.56,,,,,,,,,20.21,93.31,,,0.0,0.0
,,,2025-06-10,02:35:04,22.1,85.9,,,,32,,0.52,,,,,,,,,20.15,93.52,,,0.0,0.0
,,,2025-06-10,02:40:02,22.1,85.8,,,,33,,0.47,,,,,,,,,20.08,93.71,,,0.0,0.0
,,,2025-06-10,02:45:00,22.0,85.6,,,,34,,0.43,,,,,,,,,20.02,93.87,,,0.0,0.0
,,,2025-06-10,02:50:09,22.0,85.5,,,,35,,0.41,,,,,,,,,19.97,93.97,,,0.0,0.0
,,,2025-06-10,02:55:08,21.9,85.7,,,,35,,0.4,,,,,,,,,19.93,94.02,,,0.0,0.0
,,,2025-06-10,03:00:06,22.0,85.8,,,,0,,0.4,,,,,,,,,19.9,94.0,,,0.0,0.0
,,,2025-06-10,03:05:04,22.1,86.1,,,,1,,0.42,,,,,,,,,19.88,93.91,,,0.0,0.0
,,,2025-06-10,03:10:02,22.2,86.0,,,,1,,0.44,,,,,,,,,19.88,93.75,,,0.0,0.0
,,,2025-06-10,03:15:01,22.3,85.8,,,,2,,0.46,,,,,,,,,19.88,93.53,,,0.0,0.0
,,,2025-06-10,03:20:10,22.4,85.4,,,,3,,0.49,,,,,,,,,19.89,93.27,,,0.0,0.0
,,,2025-06-10,03:25:08,22.5,85.2,,,,4,,0.51,,,,,,,,,19.91,92.98,,,0.0,0.0
,,,2025-06-10,03:30:06,22.6,85.3,,,,6,,0.54,,,,,,,,,19.93,92.67,,,0.0,0.0
,,,2025-06-10,03:35:05,22.6,85.0,,,,7,,0.57,,,,,,,,,19.96,92.35,,,0.0,0.0
,,,2025-06-10,03:40:03,22.5,84.9,,,,8,,0.6,,,,,,,,,19.99,92.03,,,0.0,0.0
,,,2025-06-10,03:45:01,22.5,84.9,,,,9,,0.63,,,,,,,,,20.02,91.72,,,0.0,0.0
,,,2025-06-10,03:50:00,22.5,84.8,,,,10,,0.66,,,,,,,,,20.05,91.44,,,0.0,0.0
,,,2025-06-10,03:55:09,22.3,85.2,,,,10,,0.68,,,,,,,,,20.08,91.2,,,0.0,0.0
,,,2025-06-10,04:00:07,22.2,85.3,,,,11,,0.7,,,,,,,,,20.1,91.0,,,0.0,0.0
,,,2025-06-10,04:05:05,22.1,85.5,,,,11,,0.71,,,,,,,,,20.12,90.86,,,0.0,0.0
,,,2025-06-10,04:10:03,22.2,85.3,,,,10,,0.72,,,,,,,,,20.13,90.77,,,0.0,0.0
,,,2025-06-10,04:15:02,22.1,85.4,,,,10,,0.73,,,,,,,,,20.14,90.74,,,0.0,0.0
,,,2025-06-10,04:20:00,22.1,85.5,,,,9,,0.73,,,,,,,,,20.14,90.75,,,0.0,0.0
,,,2025-06-10,04:25:09,22.0,85.3,,,,7,,0.73,,,,,,,,,20.14,90.8,,,0.0,0.0
,,,2025-06-10,04:30:07,22.0,85.5,,,,3,,0.74,,,,,,,,,20.14,90.9,,,0.0,0.0
,,,2025-06-10,04:35:05,22.0,85.5,,,,0,,0.74,,,,,,,,,20.13,91.02,,,0.0,0.0
,,,2025-06-10,04:40:04,22.0,85.4,,,,34,,0.74,,,,,,,,,20.13,91.17,,,0.0,0.0
,,,2025-06-10,04:45:02,22.1,85.6,,,,33,,0.75,,,,,,,,,20.12,91.35,,,0.0,0.0
,,,2025-06-10,04:50:00,22.2,85.7,,,,33,,0.76,,,,,,,,,20.11,91.55,,,0.0,0.0
