"five_minute_interval","ts","temp","humi"
2025-06-10 00:00:00.000 +0900,2025-06-10 00:00:04.480 +0900,23.1,83.2
2025-06-10 00:05:00.000 +0900,2025-06-10 00:05:02.792 +0900,23.0,83.5
2025-06-10 00:10:00.000 +0900,2025-06-10 00:10:01.037 +0900,22.9,83.4
2025-06-10 00:15:00.000 +0900,2025-06-10 00:15:20.748 +0900,22.9,84.2
2025-06-10 00:20:00.000 +0900,2025-06-10 00:20:08.347 +0900,22.9,84.5
2025-06-10 00:25:00.000 +0900,2025-06-10 00:25:06.606 +0900,22.9,84.1
2025-06-10 00:30:00.000 +0900,2025-06-10 00:30:04.784 +0900,22.8,84.1
2025-06-10 00:35:00.000 +0900,2025-06-10 00:35:03.050 +0900,22.7,84.3
2025-06-10 00:40:00.000 +0900,2025-06-10 00:40:01.220 +0900,22.7,84.5
2025-06-10 00:45:00.000 +0900,2025-06-10 00:45:10.191 +0900,22.7,84.6
2025-06-10 00:50:00.000 +0900,2025-06-10 00:50:08.444 +0900,22.7,84.8
2025-06-10 00:55:00.000 +0900,2025-06-10 00:55:06.906 +0900,22.6,84.7
2025-06-10 01:00:00.000 +0900,2025-06-10 01:00:05.053 +0900,22.5,85.0
2025-06-10 01:05:00.000 +0900,2025-06-10 01:05:03.374 +0900,22.5,85.2
2025-06-10 01:10:00.000 +0900,2025-06-10 01:10:01.640 +0900,22.5,85.0
2025-06-10 01:15:00.000 +0900,2025-06-10 01:15:10.602 +0900,22.5,85.2
2025-06-10 01:20:00.000 +0900,2025-06-10 01:20:08.899 +0900,22.4,85.0
2025-06-10 01:25:00.000 +0900,2025-06-10 01:25:07.219 +0900,22.3,85.0
2025-06-10 01:30:00.000 +0900,2025-06-10 01:30:05.585 +0900,22.3,84.8
2025-06-10 01:35:00.000 +0900,2025-06-10 01:35:03.754 +0900,22.3,85.0
2025-06-10 01:40:00.000 +0900,2025-06-10 01:40:02.170 +0900,22.2,86.8
2025-06-10 01:45:00.000 +0900,2025-06-10 01:45:00.430 +0900,22.3,86.5
2025-06-10 01:50:00.000 +0900,2025-06-10 01:50:09.328 +0900,22.4,86.2
2025-06-10 01:55:00.000 +0900,2025-06-10 01:55:07.628 +0900,22.4,85.9
2025-06-10 02:00:00.000 +0900,2025-06-10 02:00:05.892 +0900,22.4,85.8
2025-06-10 02:05:00.000 +0900,2025-06-10 02:05:03.974 +0900,22.3,85.6
2025-06-10 02:10:00.000 +0900,2025-06-10 02:10:02.275 +0900,22.3,85.5
2025-06-10 02:15:00.000 +0900,2025-06-10 02:15:00.672 +0900,22.3,85.3
2025-06-10 02:20:00.000 +0900,2025-06-10 02:20:09.508 +0900,22.2,85.4
2025-06-10 02:25:00.000 +0900,2025-06-10 02:25:07.770 +0900,22.1,85.5
2025-06-10 02:30:00.000 +0900,2025-06-10 02:30:06.137 +0900,22.1,85.7
2025-06-10 02:35:00.000 +0900,2025-06-10 02:35:04.450 +0900,22.1,85.9
2025-06-10 02:40:00.000 +0900,2025-06-10 02:40:02.737 +0900,22.1,85.8
2025-06-10 02:45:00.000 +0900,2025-06-10 02:45:00.882 +0900,22.0,85.6
2025-06-10 02:50:00.000 +0900,2025-06-10 02:50:09.857 +0900,22.0,85.5
2025-06-10 02:55:00.000 +0900,2025-06-10 02:55:08.123 +0900,21.9,85.7
2025-06-10 03:00:00.000 +0900,2025-06-10 03:00:06.378 +0900,22.0,85.8
2025-06-10 03:05:00.000 +0900,2025-06-10 03:05:04.517 +0900,22.1,86.1
2025-06-10 03:10:00.000 +0900,2025-06-10 03:10:02.933 +0900,22.2,86.0
2025-06-10 03:15:00.000 +0900,2025-06-10 03:15:01.102 +0900,22.3,85.8
2025-06-10 03:20:00.000 +0900,2025-06-10 03:20:10.018 +0900,22.4,85.4
2025-06-10 03:25:00.000 +0900,2025-06-10 03:25:08.327 +0900,22.5,85.2
2025-06-10 03:30:00.000 +0900,2025-06-10 03:30:06.697 +0900,22.6,85.3
2025-06-10 03:35:00.000 +0900,2025-06-10 03:35:05.102 +0900,22.6,85.0
2025-06-10 03:40:00.000 +0900,2025-06-10 03:40:03.370 +0900,22.5,84.9
2025-06-10 03:45:00.000 +0900,2025-06-10 03:45:01.636 +0900,22.5,84.9
2025-06-10 03:50:00.000 +0900,2025-06-10 03:50:00.015 +0900,22.5,84.8
2025-06-10 03:55:00.000 +0900,2025-06-10 03:55:09.000 +0900,22.3,85.2
2025-06-10 04:00:00.000 +0900,2025-06-10 04:00:07.248 +0900,22.2,85.3
2025-06-10 04:05:00.000 +0900,2025-06-10 04:05:05.569 +0900,22.1,85.5
2025-06-10 04:10:00.000 +0900,2025-06-10 04:10:03.878 +0900,22.2,85.3
2025-06-10 04:15:00.000 +0900,2025-06-10 04:15:02.135 +0900,22.1,85.4
2025-06-10 04:20:00.000 +0900,2025-06-10 04:20:00.423 +0900,22.1,85.5
2025-06-10 04:25:00.000 +0900,2025-06-10 04:25:09.267 +0900,22.0,85.3
2025-06-10 04:30:00.000 +0900,2025-06-10 04:30:07.636 +0900,22.0,85.5
2025-06-10 04:35:00.000 +0900,2025-06-10 04:35:05.922 +0900,22.0,85.5
2025-06-10 04:40:00.000 +0900,2025-06-10 04:40:04.223 +0900,22.0,85.4
2025-06-10 04:45:00.000 +0900,2025-06-10 04:45:02.510 +0900,22.1,85.6
2025-06-10 04:50:00.000 +0900,2025-06-10 04:50:00.755 +0900,22.2,85.7
2025-06-10 04:55:00.000 +0900,2025-06-10 04:55:09.637 +0900,22.3,85.4
2025-06-10 05:00:00.000 +0900,2025-06-10 05:00:07.807 +0900,22.2,85.1
2025-06-10 05:05:00.000 +0900,2025-06-10 05:05:06.101 +0900,22.2,85.1
2025-06-10 05:10:00.000 +0900,2025-06-10 05:10:04.519 +0900,22.0,84.8
2025-06-10 05:15:00.000 +0900,2025-06-10 05:15:02.788 +0900,21.8,84.9
2025-06-10 05:20:00.000 +0900,2025-06-10 05:20:00.903 +0900,21.8,85.5
2025-06-10 05:25:00.000 +0900,2025-06-10 05:25:09.837 +0900,21.7,85.7
2025-06-10 05:30:00.000 +0900,2025-06-10 05:30:08.148 +0900,21.6,85.9
2025-06-10 05:35:00.000 +0900,2025-06-10 05:35:06.522 +0900,21.8,86.1
2025-06-10 05:40:00.000 +0900,2025-06-10 05:40:04.765 +0900,22.0,86.0
2025-06-10 05:45:00.000 +0900,2025-06-10 05:45:03.065 +0900,22.3,85.9
2025-06-10 05:50:00.000 +0900,2025-06-10 05:50:01.340 +0900,22.6,85.6
2025-06-10 05:55:00.000 +0900,2025-06-10 05:55:10.305 +0900,22.8,85.1
2025-06-10 06:00:00.000 +0900,2025-06-10 06:00:08.709 +0900,23.0,84.1
2025-06-10 06:05:00.000 +0900,2025-06-10 06:05:06.936 +0900,23.2,83.5
2025-06-10 06:10:00.000 +0900,2025-06-10 06:10:05.318 +0900,23.3,83.0
2025-06-10 06:15:00.000 +0900,2025-06-10 06:15:03.486 +0900,23.5,82.5
2025-06-10 06:20:00.000 +0900,2025-06-10 06:20:01.901 +0900,23.6,81.9
2025-06-10 06:25:00.000 +0900,2025-06-10 06:25:00.189 +0900,23.7,81.3
2025-06-10 06:30:00.000 +0900,2025-06-10 06:30:09.043 +0900,24.0,80.7
2025-06-10 06:35:00.000 +0900,2025-06-10 06:35:07.356 +0900,24.3,79.6
2025-06-10 06:40:00.000 +0900,2025-06-10 06:40:05.611 +0900,24.5,78.9
2025-06-10 06:45:00.000 +0900,2025-06-10 06:45:14.574 +0900,24.8,77.8
2025-06-10 06:50:00.000 +0900,2025-06-10 06:50:02.303 +0900,24.9,77.4
2025-06-10 06:55:00.000 +0900,2025-06-10 06:55:00.565 +0900,25.1,76.9
2025-06-10 07:00:00.000 +0900,2025-06-10 07:00:09.582 +0900,25.5,75.7
2025-06-10 07:05:00.000 +0900,2025-06-10 07:05:07.993 +0900,26.1,73.6
2025-06-10 07:10:00.000 +0900,2025-06-10 07:10:06.242 +0900,26.5,71.3
2025-06-10 07:15:00.000 +0900,2025-06-10 07:15:15.081 +0900,27.2,69.6
2025-06-10 07:20:00.000 +0900,2025-06-10 07:20:02.631 +0900,27.7,67.3
2025-06-10 07:25:00.000 +0900,2025-06-10 07:25:00.942 +0900,28.3,64.8
2025-06-10 07:30:00.000 +0900,2025-06-10 07:30:09.905 +0900,28.8,64.0
2025-06-10 07:35:00.000 +0900,2025-06-10 07:35:08.224 +0900,29.2,61.9
2025-06-10 07:40:00.000 +0900,2025-06-10 07:40:06.674 +0900,29.8,60.8
2025-06-10 07:45:00.000 +0900,2025-06-10 07:45:04.929 +0900,30.1,58.9
2025-06-10 07:50:00.000 +0900,2025-06-10 07:50:03.101 +0900,30.1,59.2
2025-06-10 07:55:00.000 +0900,2025-06-10 07:55:01.378 +0900,30.7,57.7
2025-06-10 08:00:00.000 +0900,2025-06-10 08:00:10.221 +0900,31.2,55.1
2025-06-10 08:05:00.000 +0900,2025-06-10 08:05:08.521 +0900,31.9,54.6
2025-06-10 08:10:00.000 +0900,2025-06-10 08:10:06.775 +0900,32.7,51.0
2025-06-10 08:15:00.000 +0900,2025-06-10 08:15:04.948 +0900,33.2,50.4
2025-06-10 08:20:00.000 +0900,2025-06-10 08:20:03.338 +0900,33.8,49.0
2025-06-10 08:25:00.000 +0900,2025-06-10 08:25:01.604 +0900,34.1,47.2
2025-06-10 08:30:00.000 +0900,2025-06-10 08:30:10.482 +0900,34.2,47.1
2025-06-10 08:35:00.000 +0900,2025-06-10 08:35:08.801 +0900,35.3,44.8
2025-06-10 08:40:00.000 +0900,2025-06-10 08:40:07.052 +0900,35.8,43.0
2025-06-10 08:45:00.000 +0900,2025-06-10 08:45:05.223 +0900,36.4,42.3
2025-06-10 08:50:00.000 +0900,2025-06-10 08:50:03.587 +0900,37.2,40.3
2025-06-10 08:55:00.000 +0900,2025-06-10 08:55:01.840 +0900,37.7,39.8
2025-06-10 09:00:00.000 +0900,2025-06-10 09:00:00.139 +0900,37.6,39.9
2025-06-10 09:05:00.000 +0900,2025-06-10 09:05:08.995 +0900,37.8,39.0
2025-06-10 09:10:00.000 +0900,2025-06-10 09:10:07.249 +0900,37.2,40.2
2025-06-10 09:15:00.000 +0900,2025-06-10 09:15:05.679 +0900,36.8,41.7
2025-06-10 09:20:00.000 +0900,2025-06-10 09:20:03.951 +0900,35.4,42.8
2025-06-10 09:25:00.000 +0900,2025-06-10 09:25:02.263 +0900,33.9,45.5
2025-06-10 09:30:00.000 +0900,2025-06-10 09:30:00.667 +0900,33.8,46.0
2025-06-10 09:35:00.000 +0900,2025-06-10 09:35:09.572 +0900,34.9,43.7
2025-06-10 09:40:00.000 +0900,2025-06-10 09:40:07.976 +0900,35.3,43.9
2025-06-10 09:45:00.000 +0900,2025-06-10 09:45:06.275 +0900,36.5,40.7
2025-06-10 09:50:00.000 +0900,2025-06-10 09:50:04.680 +0900,35.3,41.9
2025-06-10 09:55:00.000 +0900,2025-06-10 09:55:02.906 +0900,34.5,44.0
2025-06-10 10:00:00.000 +0900,2025-06-10 10:00:01.203 +0900,34.7,44.4
2025-06-10 10:05:00.000 +0900,2025-06-10 10:05:10.165 +0900,35.2,44.5
2025-06-10 10:10:00.000 +0900,2025-06-10 10:10:08.422 +0900,35.8,41.0
2025-06-10 10:15:00.000 +0900,2025-06-10 10:15:06.854 +0900,35.7,40.3
2025-06-10 10:20:00.000 +0900,2025-06-10 10:20:05.107 +0900,36.8,39.9
2025-06-10 10:25:00.000 +0900,2025-06-10 10:25:03.378 +0900,37.0,39.0
2025-06-10 10:30:00.000 +0900,2025-06-10 10:30:01.666 +0900,38.5,37.0
2025-06-10 10:35:00.000 +0900,2025-06-10 10:35:00.024 +0900,37.1,37.9
2025-06-10 10:40:00.000 +0900,2025-06-10 10:40:08.801 +0900,36.3,38.7
2025-06-10 10:45:00.000 +0900,2025-06-10 10:45:07.088 +0900,36.8,38.9
2025-06-10 10:50:00.000 +0900,2025-06-10 10:50:05.643 +0900,37.4,37.9
2025-06-10 10:55:00.000 +0900,2025-06-10 10:55:03.813 +0900,37.8,37.3
2025-06-10 11:00:00.000 +0900,2025-06-10 11:00:02.123 +0900,37.4,36.6
2025-06-10 11:05:00.000 +0900,2025-06-10 11:05:00.529 +0900,35.9,38.7
2025-06-10 11:10:00.000 +0900,2025-06-10 11:10:09.357 +0900,37.1,38.5
2025-06-10 11:15:00.000 +0900,2025-06-10 11:15:07.829 +0900,38.9,35.2
2025-06-10 11:20:00.000 +0900,2025-06-10 11:20:06.092 +0900,38.8,34.3
2025-06-10 11:25:00.000 +0900,2025-06-10 11:25:04.346 +0900,36.7,35.6
2025-06-10 11:30:00.000 +0900,2025-06-10 11:30:02.782 +0900,36.5,36.9
2025-06-10 11:35:00.000 +0900,2025-06-10 11:35:01.116 +0900,36.8,36.7
2025-06-10 11:40:00.000 +0900,2025-06-10 11:40:10.088 +0900,37.8,35.5
2025-06-10 11:45:00.000 +0900,2025-06-10 11:45:08.218 +0900,38.3,34.1
2025-06-10 11:50:00.000 +0900,2025-06-10 11:50:06.495 +0900,37.7,35.9
2025-06-10 11:55:00.000 +0900,2025-06-10 11:55:04.802 +0900,38.4,35.3
2025-06-10 12:00:00.000 +0900,2025-06-10 12:00:03.110 +0900,38.4,35.1
2025-06-10 12:05:00.000 +0900,2025-06-10 12:05:01.460 +0900,36.4,37.4
2025-06-10 12:10:00.000 +0900,2025-06-10 12:10:10.466 +0900,35.0,40.0
2025-06-10 12:15:00.000 +0900,2025-06-10 12:15:08.756 +0900,34.2,41.9
2025-06-10 12:20:00.000 +0900,2025-06-10 12:20:07.008 +0900,34.6,42.9
2025-06-10 12:25:00.000 +0900,2025-06-10 12:25:05.293 +0900,34.9,40.6
2025-06-10 12:30:00.000 +0900,2025-06-10 12:30:03.589 +0900,35.8,40.4
2025-06-10 12:35:00.000 +0900,2025-06-10 12:35:01.920 +0900,38.0,37.4
2025-06-10 12:40:00.000 +0900,2025-06-10 12:40:00.184 +0900,37.3,36.3
2025-06-10 12:45:00.000 +0900,2025-06-10 12:45:09.148 +0900,36.5,38.7
2025-06-10 12:50:00.000 +0900,2025-06-10 12:50:07.413 +0900,37.3,38.6
2025-06-10 12:55:00.000 +0900,2025-06-10 12:55:05.713 +0900,38.3,36.9
2025-06-10 13:00:00.000 +0900,2025-06-10 13:00:03.976 +0900,38.6,35.5
2025-06-10 13:05:00.000 +0900,2025-06-10 13:05:02.134 +0900,38.6,37.0
2025-06-10 13:10:00.000 +0900,2025-06-10 13:10:00.375 +0900,37.9,37.5
2025-06-10 13:15:00.000 +0900,2025-06-10 13:15:09.354 +0900,37.8,38.0
2025-06-10 13:20:00.000 +0900,2025-06-10 13:20:07.755 +0900,37.6,38.4
2025-06-10 13:25:00.000 +0900,2025-06-10 13:25:06.046 +0900,38.0,38.4
2025-06-10 13:30:00.000 +0900,2025-06-10 13:30:04.324 +0900,37.5,37.4
2025-06-10 13:35:00.000 +0900,2025-06-10 13:35:02.532 +0900,37.7,39.1
2025-06-10 13:40:00.000 +0900,2025-06-10 13:40:00.746 +0900,37.0,38.7
2025-06-10 13:45:00.000 +0900,2025-06-10 13:45:09.613 +0900,37.3,39.4
2025-06-10 13:50:00.000 +0900,2025-06-10 13:50:07.867 +0900,38.3,36.6
2025-06-10 13:55:00.000 +0900,2025-06-10 13:55:06.116 +0900,38.1,38.1
2025-06-10 14:00:00.000 +0900,2025-06-10 14:00:04.527 +0900,39.2,36.2
2025-06-10 14:05:00.000 +0900,2025-06-10 14:05:02.698 +0900,39.7,34.3
2025-06-10 14:10:00.000 +0900,2025-06-10 14:10:00.963 +0900,39.3,34.8
2025-06-10 14:15:00.000 +0900,2025-06-10 14:15:09.939 +0900,39.7,35.3
2025-06-10 14:20:00.000 +0900,2025-06-10 14:20:08.212 +0900,39.8,34.0
2025-06-10 14:25:00.000 +0900,2025-06-10 14:25:06.465 +0900,37.8,36.3
2025-06-10 14:30:00.000 +0900,2025-06-10 14:30:04.764 +0900,36.2,39.3
2025-06-10 14:35:00.000 +0900,2025-06-10 14:35:03.083 +0900,34.7,43.3
2025-06-10 14:40:00.000 +0900,2025-06-10 14:40:01.394 +0900,35.5,40.7
2025-06-10 14:45:00.000 +0900,2025-06-10 14:45:10.369 +0900,36.9,38.9
2025-06-10 14:50:00.000 +0900,2025-06-10 14:50:08.623 +0900,35.5,40.1
2025-06-10 14:55:00.000 +0900,2025-06-10 14:55:06.784 +0900,34.9,42.5
2025-06-10 15:00:00.000 +0900,2025-06-10 15:00:05.046 +0900,36.2,39.4
2025-06-10 15:05:00.000 +0900,2025-06-10 15:05:03.340 +0900,36.8,37.6
2025-06-10 15:10:00.000 +0900,2025-06-10 15:10:01.629 +0900,37.8,36.5
2025-06-10 15:15:00.000 +0900,2025-06-10 15:15:00.005 +0900,37.2,37.2
2025-06-10 15:20:00.000 +0900,2025-06-10 15:20:08.892 +0900,37.6,36.3
2025-06-10 15:25:00.000 +0900,2025-06-10 15:25:07.169 +0900,37.8,36.3
2025-06-10 15:30:00.000 +0900,2025-06-10 15:30:05.280 +0900,36.2,37.5
2025-06-10 15:35:00.000 +0900,2025-06-10 15:35:03.592 +0900,35.0,40.3
2025-06-10 15:40:00.000 +0900,2025-06-10 15:40:12.724 +0900,35.6,40.6
2025-06-10 15:45:00.000 +0900,2025-06-10 15:45:00.271 +0900,36.7,38.6
2025-06-10 15:50:00.000 +0900,2025-06-10 15:50:09.097 +0900,36.0,36.8
2025-06-10 15:55:00.000 +0900,2025-06-10 15:55:07.374 +0900,34.2,42.6
2025-06-10 16:00:00.000 +0900,2025-06-10 16:00:05.825 +0900,34.5,43.1
2025-06-10 16:05:00.000 +0900,2025-06-10 16:05:04.053 +0900,34.2,41.7
2025-06-10 16:10:00.000 +0900,2025-06-10 16:10:13.002 +0900,34.9,41.8
2025-06-10 16:15:00.000 +0900,2025-06-10 16:15:00.449 +0900,34.9,41.7
2025-06-10 16:20:00.000 +0900,2025-06-10 16:20:09.426 +0900,36.9,38.8
2025-06-10 16:25:00.000 +0900,2025-06-10 16:25:07.710 +0900,36.4,39.7
2025-06-10 16:30:00.000 +0900,2025-06-10 16:30:05.871 +0900,35.7,41.3
2025-06-10 16:35:00.000 +0900,2025-06-10 16:35:04.198 +0900,37.1,38.2
