"five_minute_interval","ts","temp","humi"
2025-03-01 00:00:00.000 +0900,2025-03-01 00:00:08.868 +0900,4.8,77.4
2025-03-01 00:05:00.000 +0900,2025-03-01 00:05:06.973 +0900,4.7,77.4
2025-03-01 00:10:00.000 +0900,2025-03-01 00:10:05.388 +0900,4.6,77.4
2025-03-01 00:15:00.000 +0900,2025-03-01 00:15:03.696 +0900,4.6,77.4
2025-03-01 00:20:00.000 +0900,2025-03-01 00:20:02.054 +0900,4.5,77.3
2025-03-01 00:25:00.000 +0900,2025-03-01 00:25:00.222 +0900,4.4,77.6
2025-03-01 00:30:00.000 +0900,2025-03-01 00:30:09.289 +0900,4.4,77.5
2025-03-01 00:35:00.000 +0900,2025-03-01 00:35:07.650 +0900,4.2,76.8
2025-03-01 00:40:00.000 +0900,2025-03-01 00:40:05.823 +0900,4.1,77.0
2025-03-01 00:45:00.000 +0900,2025-03-01 00:45:04.261 +0900,4.0,77.4
2025-03-01 00:50:00.000 +0900,2025-03-01 00:50:02.629 +0900,4.0,77.5
2025-03-01 00:55:00.000 +0900,2025-03-01 00:55:00.844 +0900,3.9,77.5
2025-03-01 01:00:00.000 +0900,2025-03-01 01:00:09.911 +0900,3.8,77.1
2025-03-01 01:05:00.000 +0900,2025-03-01 01:05:08.174 +0900,3.8,76.9
2025-03-01 01:10:00.000 +0900,2025-03-01 01:10:06.601 +0900,3.6,76.9
2025-03-01 01:15:00.000 +0900,2025-03-01 01:15:04.877 +0900,3.4,76.9
2025-03-01 01:20:00.000 +0900,2025-03-01 01:20:03.305 +0900,3.3,77.2
2025-03-01 01:25:00.000 +0900,2025-03-01 01:25:01.426 +0900,3.2,77.4
2025-03-01 01:30:00.000 +0900,2025-03-01 01:30:10.351 +0900,3.2,77.0
2025-03-01 01:35:00.000 +0900,2025-03-01 01:35:08.637 +0900,3.2,77.4
2025-03-01 01:40:00.000 +0900,2025-03-01 01:40:06.994 +0900,3.0,77.1
2025-03-01 01:45:00.000 +0900,2025-03-01 01:45:05.311 +0900,3.1,76.9
2025-03-01 01:50:00.000 +0900,2025-03-01 01:50:03.622 +0900,2.9,77.1
2025-03-01 01:55:00.000 +0900,2025-03-01 01:55:01.943 +0900,2.9,77.1
2025-03-01 02:00:00.000 +0900,2025-03-01 02:00:00.184 +0900,2.9,76.9
2025-03-01 02:05:00.000 +0900,2025-03-01 02:05:09.214 +0900,2.8,77.1
2025-03-01 02:10:00.000 +0900,2025-03-01 02:10:07.499 +0900,2.6,76.9
2025-03-01 02:15:00.000 +0900,2025-03-01 02:15:05.784 +0900,2.6,76.5
2025-03-01 02:20:00.000 +0900,2025-03-01 02:20:04.074 +0900,2.5,76.7
2025-03-01 02:25:00.000 +0900,2025-03-01 02:25:02.336 +0900,2.3,76.8
2025-03-01 02:30:00.000 +0900,2025-03-01 02:30:00.548 +0900,2.4,77.3
2025-03-01 02:35:00.000 +0900,2025-03-01 02:35:09.566 +0900,2.3,77.4
2025-03-01 02:40:00.000 +0900,2025-03-01 02:40:07.728 +0900,2.3,77.3
2025-03-01 02:45:00.000 +0900,2025-03-01 02:45:05.956 +0900,2.3,77.4
2025-03-01 02:50:00.000 +0900,2025-03-01 02:50:04.253 +0900,2.4,77.6
2025-03-01 02:55:00.000 +0900,2025-03-01 02:55:02.562 +0900,2.3,77.5
2025-03-01 03:00:00.000 +0900,2025-03-01 03:00:00.918 +0900,2.3,77.3
2025-03-01 03:05:00.000 +0900,2025-03-01 03:05:09.766 +0900,2.3,77.1
2025-03-01 03:10:00.000 +0900,2025-03-01 03:10:08.030 +0900,2.3,77.1
2025-03-01 03:15:00.000 +0900,2025-03-01 03:15:06.449 +0900,2.2,77.4
2025-03-01 03:20:00.000 +0900,2025-03-01 03:20:04.683 +0900,2.2,78.0
2025-03-01 03:25:00.000 +0900,2025-03-01 03:25:02.992 +0900,2.2,77.7
2025-03-01 03:30:00.000 +0900,2025-03-01 03:30:01.360 +0900,2.2,77.6
2025-03-01 03:35:00.000 +0900,2025-03-01 03:35:10.418 +0900,2.2,77.2
2025-03-01 03:40:00.000 +0900,2025-03-01 03:40:08.691 +0900,2.1,76.9
2025-03-01 03:45:00.000 +0900,2025-03-01 03:45:06.954 +0900,2.0,76.6
2025-03-01 03:50:00.000 +0900,2025-03-01 03:50:05.275 +0900,1.9,77.0
2025-03-01 03:55:00.000 +0900,2025-03-01 03:55:03.607 +0900,1.9,77.1
2025-03-01 04:00:00.000 +0900,2025-03-01 04:00:01.998 +0900,1.8,77.0
2025-03-01 04:05:00.000 +0900,2025-03-01 04:05:00.297 +0900,1.8,77.0
2025-03-01 04:10:00.000 +0900,2025-03-01 04:10:09.141 +0900,1.7,77.5
2025-03-01 04:15:00.000 +0900,2025-03-01 04:15:07.539 +0900,1.7,77.8
2025-03-01 04:20:00.000 +0900,2025-03-01 04:20:05.848 +0900,1.8,77.8
2025-03-01 04:25:00.000 +0900,2025-03-01 04:25:04.026 +0900,1.8,77.5
2025-03-01 04:30:00.000 +0900,2025-03-01 04:30:02.439 +0900,1.8,77.5
2025-03-01 04:35:00.000 +0900,2025-03-01 04:35:11.288 +0900,1.8,77.7
2025-03-01 04:40:00.000 +0900,2025-03-01 04:40:09.616 +0900,1.8,77.4
2025-03-01 04:45:00.000 +0900,2025-03-01 04:45:07.749 +0900,1.8,77.3
2025-03-01 04:50:00.000 +0900,2025-03-01 04:50:06.074 +0900,1.7,77.1
2025-03-01 04:55:00.000 +0900,2025-03-01 04:55:04.489 +0900,1.7,77.2
2025-03-01 05:00:00.000 +0900,2025-03-01 05:00:02.750 +0900,1.7,77.4
2025-03-01 05:05:00.000 +0900,2025-03-01 05:05:00.996 +0900,1.6,77.6
2025-03-01 05:10:00.000 +0900,2025-03-01 05:10:09.870 +0900,1.6,77.7
2025-03-01 05:15:00.000 +0900,2025-03-01 05:15:08.231 +0900,1.7,77.9
2025-03-01 05:20:00.000 +0900,2025-03-01 05:20:06.389 +0900,1.7,78.0
2025-03-01 05:25:00.000 +0900,2025-03-01 05:25:04.807 +0900,1.8,78.4
2025-03-01 05:30:00.000 +0900,2025-03-01 05:30:03.233 +0900,1.9,78.4
2025-03-01 05:35:00.000 +0900,2025-03-01 05:35:01.485 +0900,1.9,78.0
2025-03-01 05:40:00.000 +0900,2025-03-01 05:40:10.234 +0900,1.9,77.6
2025-03-01 05:45:00.000 +0900,2025-03-01 05:45:08.533 +0900,1.8,77.6
2025-03-01 05:50:00.000 +0900,2025-03-01 05:50:06.945 +0900,1.8,77.8
2025-03-01 05:55:00.000 +0900,2025-03-01 05:55:05.110 +0900,1.8,77.7
2025-03-01 06:00:00.000 +0900,2025-03-01 06:00:00.754 +0900,1.7,77.7
2025-03-01 06:05:00.000 +0900,2025-03-01 06:05:01.840 +0900,1.6,77.6
2025-03-01 06:10:00.000 +0900,2025-03-01 06:10:10.670 +0900,1.6,77.7
2025-03-01 06:15:00.000 +0900,2025-03-01 06:15:08.840 +0900,1.6,78.0
2025-03-01 06:20:00.000 +0900,2025-03-01 06:20:07.231 +0900,1.5,78.0
2025-03-01 06:25:00.000 +0900,2025-03-01 06:25:05.628 +0900,1.5,77.9
2025-03-01 06:30:00.000 +0900,2025-03-01 06:30:03.788 +0900,1.5,78.2
2025-03-01 06:35:00.000 +0900,2025-03-01 06:35:02.129 +0900,1.6,78.3
2025-03-01 06:40:00.000 +0900,2025-03-01 06:40:00.452 +0900,1.7,78.2
2025-03-01 06:45:00.000 +0900,2025-03-01 06:45:09.314 +0900,1.7,78.1
2025-03-01 06:50:00.000 +0900,2025-03-01 06:50:07.728 +0900,1.7,78.1
2025-03-01 06:55:00.000 +0900,2025-03-01 06:55:05.997 +0900,1.6,77.9
2025-03-01 07:00:00.000 +0900,2025-03-01 07:00:04.167 +0900,1.7,78.0
2025-03-01 07:05:00.000 +0900,2025-03-01 07:05:02.550 +0900,1.6,78.1
2025-03-01 07:10:00.000 +0900,2025-03-01 07:10:00.817 +0900,1.7,77.9
2025-03-01 07:15:00.000 +0900,2025-03-01 07:15:09.792 +0900,1.7,77.3
2025-03-01 07:20:00.000 +0900,2025-03-01 07:20:08.095 +0900,1.8,77.3
2025-03-01 07:25:00.000 +0900,2025-03-01 07:25:06.357 +0900,1.9,77.0
2025-03-01 07:30:00.000 +0900,2025-03-01 07:30:04.663 +0900,2.1,77.0
2025-03-01 07:35:00.000 +0900,2025-03-01 07:35:02.917 +0900,2.3,76.5
2025-03-01 07:40:00.000 +0900,2025-03-01 07:40:01.271 +0900,2.7,76.6
2025-03-01 07:45:00.000 +0900,2025-03-01 07:45:10.107 +0900,3.1,76.3
2025-03-01 07:50:00.000 +0900,2025-03-01 07:50:08.510 +0900,3.4,75.8
2025-03-01 07:55:00.000 +0900,2025-03-01 07:55:06.761 +0900,3.8,75.2
2025-03-01 08:00:00.000 +0900,2025-03-01 08:00:05.155 +0900,4.1,75.2
2025-03-01 08:05:00.000 +0900,2025-03-01 08:05:03.419 +0900,4.4,74.4
