house_number,plant_name,planting_date,date,time,indoor_temperature,indoor_humidity,outdoor_temperature,outdoor_humidity,wind_direction,wind_speed,inner_left_window_top_opening,inner_left_window_bottom_opening,inner_right_window_top_opening,inner_right_window_bottom_opening,outer_left_window_top_opening,outer_left_window_bottom_opening,outer_right_window_top_opening,outer_right_window_bottom_opening,kma_solar_irradiance,kma_solar_time,kma_rain_per_hour,kma_snow_per_hour
,,,2025.3.1,0:00:08,4.8,77.4,6.4,68,5,1.5,,,,,,,,,,,0,0
,,,2025.3.1,0:05:06,4.7,77.4,6.48,67.74,5,1.46,,,,,,,,,,,0,0
,,,2025.3.1,0:10:05,4.6,77.4,6.54,67.56,5,1.42,,,,,,,,,,,0,0
,,,2025.3.1,0:15:03,4.6,77.4,6.57,67.45,4,1.37,,,,,,,,,,,0,0
,,,2025.3.1,0:20:02,4.5,77.3,6.59,67.42,4,1.33,,,,,,,,,,,0,0
,,,2025.3.1,0:25:00,4.4,77.6,6.59,67.45,4,1.28,,,,,,,,,,,0,0
,,,2025.3.1,0:30:09,4.4,77.5,6.57,67.53,4,1.23,,,,,,,,,,,0,0
,,,2025.3.1,0:35:07,4.2,76.8,6.54,67.68,3,1.17,,,,,,,,,,,0,0
,,,2025.3.1,0:40:05,4.1,77,6.49,67.87,3,1.12,,,,,,,,,,,0,0
,,,2025.3.1,0:45:04,4,77.4,6.44,68.1,3,1.07,,,,,,,,,,,0,0
,,,2025.3.1,0:50:02,4,77.5,6.37,68.37,2,1.01,,,,,,,,,,,0,0
,,,2025.3.1,0:55:00,3.9,77.5,6.29,68.67,2,0.96,,,,,,,,,,,0,0
,,,2025.3.1,1:00:09,3.8,77.1,6.2,69,2,0.9,,,,,,,,,,,0,0
,,,2025.3.1,1:05:08,3.8,76.9,6.11,69.35,2,0.83,,,,,,,,,,,0,0
,,,2025.3.1,1:10:06,3.6,76.9,6.01,69.71,2,0.75,,,,,,,,,,,0,0
,,,2025.3.1,1:15:04,3.4,76.9,5.9,70.09,2,0.65,,,,,,,,,,,0,0
,,,2025.3.1,1:20:03,3.3,77.2,5.79,70.47,1,0.55,,,,,,,,,,,0,0
,,,2025.3.1,1:25:01,3.2,77.4,5.69,70.84,1,0.44,,,,,,,,,,,0,0
