YYMMDDHHMI,STN,WD,WS,GST,PA,PS,PT,PR,TA,TD,HM,PV,RN,SD,WC,WP,WW,CA,CH,CT,VS,SS,SI,ST,TS,TE,WH,BF,IR,IX
202602110000,181,20,1.4,-9,1016.0,1020.2,1,0.2,2.2,-0.2,84.0,6.0,-9.0,-9.0,-9,-9,-,9,5,-9,788,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,1,-9
202602110100,181,20,1.5,-9,1015.9,1020.1,-9,-9.0,2.0,-0.2,85.0,6.0,-9.0,-9.0,-9,-9,-,9,5,-9,737,-9.0,-9.00,-9,-0.1,-99.0,-9.0,-9,3,-9
202602110200,181,0,0.3,-9,1016.0,1020.2,-9,-9.0,1.9,-0.2,86.0,6.0,-9.0,-9.0,-9,-9,-,4,6,-9,692,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602110300,181,20,0.9,-9,1016.1,1020.3,3,0.1,1.1,-0.6,88.0,5.8,-9.0,-9.0,-9,-9,-,2,6,-9,644,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602110400,181,20,0.7,-9,1016.2,1020.5,-9,-9.0,0.2,-1.2,90.0,5.6,-9.0,-9.0,-9,-9,-,0,-9,-9,502,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602110500,181,23,1.1,-9,1016.4,1020.7,-9,-9.0,0.5,-0.8,91.0,5.8,-9.0,-9.0,-9,-9,-,3,11,-9,495,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602110600,181,20,0.9,-9,1016.8,1021.0,2,0.7,0.9,-0.4,91.0,5.9,-9.0,-9.0,-9,-9,-,5,4,-9,477,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,1,-9
202602110700,181,25,1.5,-9,1017.0,1021.2,-9,-9.0,1.1,-0.2,91.0,6.0,-9.0,-9.0,-9,-9,-,3,3,-9,427,-9.0,-9.00,-9,-0.3,-99.0,-9.0,-9,1,-9
202602110800,181,25,0.6,-9,1017.5,1021.7,-9,-9.0,1.2,-0.1,91.0,6.1,-9.0,-9.0,-9,-9,-,3,5,-9,461,0.0,0.01,-9,-0.3,-99.0,-9.0,-9,1,-9
202602110900,181,23,1.0,-9,1017.9,1022.1,2,1.1,1.7,0.0,89.0,6.1,-9.0,-9.0,-9,-9,-,5,6,-9,508,0.0,0.07,-9,-0.3,-99.0,-9.0,-9,1,-9
202602111000,181,23,1.7,-9,1017.9,1022.1,-9,-9.0,2.1,0.4,89.0,6.3,-9.0,-9.0,-9,-9,-,9,5,-9,480,0.0,0.13,-9,-0.3,-99.0,-9.0,-9,1,-9
202602111100,181,25,2.0,-9,1018.3,1022.5,-9,-9.0,3.1,0.6,84.0,6.4,-9.0,-9.0,-9,-9,-,8,5,-9,626,0.0,0.34,-9,1.5,-99.0,-9.0,-9,3,-9
202602111200,181,27,1.9,-9,1018.1,1022.3,0,0.2,4.7,0.2,73.0,6.2,-9.0,-9.0,-9,-9,-,5,8,-9,714,0.0,0.77,-9,3.8,-99.0,-9.0,-9,3,-9
202602111300,181,23,2.6,-9,1017.4,1021.6,-9,-9.0,4.7,-0.1,71.0,6.1,-9.0,-9.0,-9,-9,-,3,8,-9,688,0.0,0.88,-9,3.3,-99.0,-9.0,-9,3,-9
202602111400,181,27,2.6,-9,1017.3,1021.5,-9,-9.0,5.6,-1.1,62.0,5.6,-9.0,-9.0,-9,-9,-,4,9,-9,564,0.0,0.73,-9,3.6,-99.0,-9.0,-9,1,-9
202602111500,181,32,4.6,-9,1017.4,1021.6,5,-0.7,4.9,-1.7,62.0,5.4,-9.0,-9.0,-9,-9,-,3,9,-9,713,0.1,0.84,-9,3.5,-99.0,-9.0,-9,1,-9
202602111600,181,29,3.9,-9,1017.5,1021.7,-9,-9.0,5.0,-1.9,61.0,5.3,-9.0,-9.0,-9,-9,-,4,9,-9,692,0.2,0.88,-9,3.5,-99.0,-9.0,-9,3,-9
202602111700,181,32,3.5,-9,1017.8,1022.0,-9,-9.0,4.7,-3.3,56.0,4.8,-9.0,-9.0,-9,-9,-,3,10,-9,850,0.8,0.83,-9,2.8,-99.0,-9.0,-9,3,-9
202602111800,181,34,3.6,-9,1018.0,1022.2,2,0.6,2.9,-4.1,60.0,4.5,-9.0,-9.0,-9,-9,-,0,-9,-9,860,0.4,0.22,-9,0.2,-99.0,-9.0,-9,3,-9
202602111900,181,29,1.5,-9,1018.5,1022.7,-9,-9.0,1.8,-4.0,65.0,4.5,-9.0,-9.0,-9,-9,-,0,-9,-9,761,0.0,0.00,-9,-0.3,-99.0,-9.0,-9,3,-9
202602112000,181,0,0.2,-9,1018.3,1022.6,-9,-9.0,0.2,-4.0,73.0,4.5,-9.0,-9.0,-9,-9,-,0,-9,-9,605,-9.0,-9.00,-9,-0.4,-99.0,-9.0,-9,3,-9
202602112100,181,18,1.3,-9,1018.6,1022.9,2,0.7,-1.7,-4.7,80.0,4.3,-9.0,-9.0,-9,-9,-,0,-9,-9,472,-9.0,-9.00,-9,-0.5,-99.0,-9.0,-9,3,-9
202602112200,181,18,1.9,-9,1018.8,1023.1,-9,-9.0,-2.1,-4.4,84.0,4.4,-9.0,-9.0,-9,-9,-,0,-9,-9,407,-9.0,-9.00,-9,-0.6,-99.0,-9.0,-9,3,-9
202602112300,181,0,0.4,-9,1018.8,1023.1,-9,-9.0,-3.1,-4.9,87.0,4.2,-9.0,-9.0,-9,-9,-,0,-9,-9,314,-9.0,-9.00,-9,-0.8,-99.0,-9.0,-9,3,-9
202602120000,181,0,0.4,-9,1018.7,1023.0,0,0.1,-3.8,-5.2,90.0,4.2,-9.0,-9.0,-9,-9,-,0,-9,-9,277,-9.0,-9.00,-9,-1.0,-99.0,-9.0,-9,3,-9
202602120100,181,0,0.2,-9,1019.1,1023.4,-9,-9.0,-4.5,-5.8,90.0,4.0,-9.0,-9.0,-9,-9,-,0,-9,-9,266,-9.0,-9.00,-9,-1.2,-99.0,-9.0,-9,3,-9
202602120200,181,0,0.4,-9,1019.5,1023.9,-9,-9.0,-5.3,-6.4,92.0,3.8,-9.0,-9.0,-9,-9,-,0,-9,-9,200,-9.0,-9.00,-9,-1.5,-99.0,-9.0,-9,3,-9
202602120300,181,0,0.1,-9,1019.7,1024.1,2,1.1,-5.6,-6.5,93.0,3.8,-9.0,-9.0,-9,-9,-,0,-9,-9,219,-9.0,-9.00,-9,-1.8,-99.0,-9.0,-9,3,-9
202602120400,181,0,0.3,-9,1019.5,1023.9,-9,-9.0,-5.8,-6.6,94.0,3.7,-9.0,-9.0,-9,-9,-,0,-9,-9,172,-9.0,-9.00,-9,-2.0,-99.0,-9.0,-9,3,-9
202602120500,181,0,0.0,-9,1019.5,1023.9,-9,-9.0,-6.3,-7.1,94.0,3.6,-9.0,-9.0,-9,-9,-,0,-9,-9,141,-9.0,-9.00,-9,-2.2,-99.0,-9.0,-9,3,-9
202602120600,181,0,0.0,-9,1019.8,1024.2,3,0.1,-6.3,-7.1,94.0,3.6,-9.0,-9.0,-9,-9,-,0,-9,-9,200,-9.0,-9.00,-9,-2.4,-99.0,-9.0,-9,3,-9
202602120700,181,0,0.0,-9,1020.0,1024.4,-9,-9.0,-7.1,-8.0,93.0,3.3,-9.0,-9.0,-9,-9,-,0,-9,-9,182,-9.0,-9.00,-9,-2.6,-99.0,-9.0,-9,3,-9
202602120800,181,0,0.0,-9,1020.6,1025.0,-9,-9.0,-6.7,-7.6,93.0,3.5,-9.0,-9.0,-9,-9,-,0,-9,-9,231,0.0,0.03,-9,-2.6,-99.0,-9.0,-9,3,-9
202602120900,181,0,0.4,-9,1021.4,1025.8,2,1.6,-4.4,-5.2,94.0,4.2,-9.0,-9.0,-9,-9,-,7,-9,-9,97,0.0,0.34,-9,-1.3,-99.0,-9.0,-9,3,-9
202602121000,181,29,1.0,-9,1021.2,1025.5,-9,-9.0,-3.1,-3.6,96.0,4.7,-9.0,-9.0,-9,-9,-,0,-9,-9,49,0.0,0.59,-9,-0.6,-99.0,-9.0,-9,3,-9
