file_name,timestamp,my_ship,ship_id,ship_type,length,width,draft,latitude,longitude,knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-09-23 17:01,0,0,Boat,286,48,3,36.35,127.38429,98.35629,137,39.63016,411.3183,79.26608,25.93811
frame_1,2025-09-23 17:01,0,1,Cruise,230,40,1,36.35,127.3882187,100.0015,24,307.025,287.6917,669.0699,173.9726
frame_1,2025-09-23 17:01,1,5,Boat,203,14,1,36.35,127.391785,0.006431096,60,0,0,0,0
frame_2,2025-09-23 17:02,0,1,Cruise,230,40,1,36.36,127.3909002,123.4196,24,936.6101,260.3862,87.38989,223.2974
frame_2,2025-09-23 17:02,0,2,Fishing,228,21,1,36.35,127.3767318,188.7632,272,211.663,362.9498,104.8471,50.1171
frame_2,2025-09-23 17:02,0,3,Boat,246,15,1,36.35,127.3784399,194.5643,253,96.86588,401.2774,55.00931,13.78546
frame_2,2025-09-23 17:02,1,5,Boat,203,14,1,36.35,127.3907982,13.5922,60,0,0,0,0
frame_3,2025-09-23 17:03,0,2,Fishing,228,21,1,36.35,127.3680662,173.752,272,603.6039,360.7969,70.73578,55.24274
frame_3,2025-09-23 17:03,0,3,Boat,246,15,1,36.34,127.3690463,192.9511,253,441.2136,398.2703,35.42294,12.06592
frame_3,2025-09-23 17:03,1,5,Boat,203,14,1,36.35,127.3802359,483.3989,60,0,0,0,0
frame_4,2025-09-23 17:04,0,2,Fishing,228,21,1,36.34,127.3637484,125.9532,272,862.5863,320.0518,99.46851,152.2502
frame_4,2025-09-23 17:04,0,3,Boat,246,15,1,36.34,127.3639129,129.7958,253,534.2349,407.2567,48.65271,21.51044
frame_4,2025-09-23 17:04,1,5,Boat,203,14,1,36.34,127.3695223,200.109,60,0,0,0,0
frame_5,2025-09-23 17:05,0,2,Fishing,228,21,1,36.34,127.364374,107.7897,272,339.0657,172.2083,684.9343,504.2411
frame_5,2025-09-23 17:05,1,5,Boat,203,14,1,36.34,127.3646388,122.0348,60,0,0,0,0
frame_6,2025-09-23 17:06,0,2,Fishing,228,21,1,36.33,127.3695055,144.4381,272,368.759,331.6323,239.475,124.6789
frame_6,2025-09-23 17:06,0,3,Boat,246,15,1,36.33,127.3675087,115.2367,253,796.3556,416.5612,106.845,28.18658
frame_6,2025-09-23 17:06,1,5,Boat,203,14,1,36.34,127.364927,96.88064,60,0,0,0,0
frame_7,2025-09-23 17:07,0,2,Fishing,228,21,1,36.33,127.3774125,147.5854,272,577.6063,265.6016,421.1081,281.8871
frame_7,2025-09-23 17:07,0,3,Boat,246,15,1,36.33,127.3751471,186.9169,253,311.2029,482.2416,190.1924,194.7161
frame_7,2025-09-23 17:07,1,5,Boat,203,14,1,36.33,127.3744563,78.12882,60,0,0,0,0
frame_8,2025-09-23 17:08,1,5,Boat,203,14,1,36.34,127.382749,158.3885,60,0,0,0,0
frame_9,2025-09-23 17:09,0,1,Cruise,230,40,1,36.32,127.3826845,191.7504,24,649.1097,333.4754,168.0769,91.26822
frame_9,2025-09-23 17:09,1,5,Boat,203,14,1,36.34,127.383964,407.723,60,0,0,0,0
frame_10,2025-09-23 17:10,1,5,Boat,203,14,1,36.32,127.3884959,21.98161,60,0,0,0,0
