file_name,text
frame_1,"황혼, 시계 제한. 좌현에 크루즈선(ID:2)과 어선(ID:4), 우현에 어선(ID:1,5) 등 4척 밀집. 야간 항해 대비 등화 식별 준비."
frame_2,좌현 어선(ID:4)과 우현 어선(ID:5)이 원거리로 이동. 중앙의 어선(ID:1)은 침로 유지. 점차 어두워져 거리 판단 어려움.
frame_3,선수 정면에 어선(ID:1) 위치. 주변은 어두워지고 배경과 선박의 구분이 모호해짐. 충돌 위험 대비 피항 준비.
frame_4,선수 좌현에 있던 어선(ID:1)이 매우 근접. 황혼의 어두운 시야 속 선박 실루엣만 보여 위험. 즉시 감속 및 상대선 의도 파악.
frame_5,근접했던 어선(ID:1)이 좌현으로 통과하며 시야 차단. 긴급 상황. 타 선박 부재 확인 후 신속히 침로 복귀.
frame_6,"시야를 가리던 어선(ID:5) 통과. 전방 시야 확보되었으나, 완전한 야간 상태. 야간 항해 체제로 전환 및 등화 점검."
frame_7,전방 타선박 없음. 완전한 야간 항해 상태. 주기적인 RADAR 스캐닝과 육안 감시 병행.
frame_8,주변 타선박 없음. 고요한 야간 항해 지속. 선교 조명 어둡게 유지하여 외부 시야 확보.
frame_9,선수 좌현 원거리에 어선(ID:5) 등화 식별. 야간에는 작은 불빛도 대형 선박일 수 있으므로 RADAR로 확인.
frame_10,"선수 좌현에 크루즈선(ID:2), 우현에 어선(ID:1) 출현. 야간 조우 상황. COLREGs에 따른 피항 조치 수행."
