Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
2025-09-22 4:02,0,Fishing,165,35,2,36.356004,127.393049,153.56,59,-612.9075,191.3633,714.8284,331.5652
2025-09-22 4:02,1,Fishing,67,21,2,36.352091,127.39051,189.57,92,510.7029,282.8184,287.7962,174.1544
2025-09-22 4:02,3,Cruise,251,29,2,36.350935,127.39072,189.96,62,180.9925,181.9005,1077.124,451.951
2025-09-22 4:02,5,Fishing,157,29,3,36.354763,127.391834,182.45,69.00001,-45.42291,210.8348,522.9924,298.051
2025-09-22 4:03,1,Fishing,67,21,2,36.356751,127.399252,179.69,92,813.1942,224.1667,458.9181,275.1071
2025-09-22 4:03,3,Cruise,251,29,2,36.354539,127.39918,113.12,62,724.4641,26.85301,1715.437,798.6805
2025-09-22 4:04,0,Fishing,165,35,2,36.355408,127.406183,53.75,59,252.3643,342.8996,146.9908,70.74176
2025-09-22 4:04,1,Fishing,67,21,2,36.364197,127.404412,179.61,92,736.9139,203.2763,562.1633,311.0659
2025-09-22 4:04,3,Cruise,251,29,2,36.356678,127.402688,60.18,62,316.5108,333.597,480.9922,112.7151
2025-09-22 4:04,5,Fishing,157,29,3,36.355757,127.407505,89.19,69.00001,149.5677,339.7809,163.6702,76.10977
2025-09-22 4:05,0,Fishing,165,35,2,36.35697,127.406691,61.88,59,786.1389,277.5755,461.1971,183.1773
2025-09-22 4:05,5,Fishing,157,29,3,36.354496,127.409376,25.06,69.00001,459.5674,324.8119,207.915,101.8743
2025-09-22 4:06,5,Fishing,157,29,3,36.353573,127.406178,111.52,69.00001,920.143,-578.215,948.8903,1656.159
2025-09-22 4:07,0,Fishing,165,35,2,36.363473,127.393079,231.37,59,439.3442,346.3533,129.2895,64.7973
2025-09-22 4:07,3,Cruise,251,29,2,36.363116,127.38381,245.24,62,166.8916,357.5624,290.5756,59.12186
2025-09-22 4:08,0,Fishing,165,35,2,36.364441,127.379445,293.21,59,520.8029,363.5836,72.7215,35.14056
2025-09-22 4:08,5,Fishing,157,29,3,36.351848,127.384526,307.06,69.00001,-64.90442,356.0635,107.5685,48.08411
2025-09-22 4:09,0,Fishing,165,35,2,36.360977,127.364235,305.23,59,797.8087,363.8839,75.78278,34.62384
2025-09-22 4:10,0,Fishing,165,35,2,36.353313,127.351319,275.34,59,659.453,364.1616,48.99194,34.14569
