folder,Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-09-22 03:01:00,3,Fishing,193,49,2,36.351444,127.384134,97.97,105,-68.4079,176.5694,541.9448,357.0285
frame_2,2025-09-22 03:02:01,1,Boat,181,29,3,36.344815,127.39154,176.96,122,541.3353,358.819,46.45197,11.5015
frame_2,2025-09-22 03:02:01,2,Boat,28,26,4,36.343557,127.391124,111.64,122,613.0461,358.5105,34.39435,11.72644
frame_2,2025-09-22 03:02:01,3,Fishing,193,49,2,36.35209,127.38649,73.4,105,-92.45471,325.347,242.1631,100.9532
frame_2,2025-09-22 03:02:01,4,Boat,186,24,2,36.342912,127.38693,54.4,142,752.9982,347.926,66.59265,16.45703
frame_2,2025-09-22 03:02:01,5,Fishing,131,33,3,36.352264,127.389231,110.2,300,11.49457,339.8516,189.4279,75.98801
frame_3,2025-09-22 03:03:01,1,Boat,181,29,3,36.344,127.400105,148.95,122,217.2809,365.8469,32.39713,8.238098
frame_3,2025-09-22 03:03:01,2,Boat,28,26,4,36.339354,127.390753,60.68,122,529.8496,357.3647,52.5769,12.38708
frame_3,2025-09-22 03:03:01,4,Boat,186,24,2,36.342929,127.386272,44.15,142,466.9399,334.6111,93.44125,24.47192
frame_4,2025-09-22 03:04:02,3,Fishing,193,49,2,36.357593,127.386009,32.46,105,-39.81873,340.9063,108.9227,74.17264
frame_4,2025-09-22 03:04:02,4,Boat,186,24,2,36.347433,127.388015,141.57,142,634.5535,296.786,150.5627,46.44846
frame_4,2025-09-22 03:04:02,5,Fishing,131,33,3,36.352712,127.393273,58.12,300,510.0619,347.6769,131.3983,62.51917
frame_5,2025-09-22 03:05:02,3,Fishing,193,49,2,36.354025,127.385583,115.35,105,-219.1487,233.5565,520.7522,258.9426
frame_5,2025-09-22 03:05:02,5,Fishing,131,33,3,36.356062,127.388525,173.78,300,504.0542,255.9788,390.9455,220.3493
frame_6,2025-09-22 03:06:03,1,Boat,181,29,3,36.357341,127.402576,162.61,122,598.7488,354.0272,32.61017,13.89417
frame_6,2025-09-22 03:06:03,4,Boat,186,24,2,36.361947,127.394498,174.31,142,-228.0708,254.7892,309.3386,72.31129
frame_7,2025-09-22 03:07:03,1,Boat,181,29,3,36.361464,127.393682,197.11,122,587.3733,-2033.444,3165.837,2251.674
frame_8,2025-09-22 03:08:04,1,Boat,181,29,3,36.363709,127.383764,222.03,122,645.4191,279.303,191.8423,57.77026
frame_8,2025-09-22 03:08:04,5,Fishing,131,33,3,36.369339,127.378365,137.35,300,-66.11285,331.3693,229.3747,90.58771
frame_9,2025-09-22 03:09:04,5,Fishing,131,33,3,36.374129,127.384938,181.37,300,125.7668,246.3934,429.0226,236.8477
frame_10,2025-09-22 03:10:05,5,Fishing,131,33,3,36.376147,127.396235,343.76,300,-181.2562,-465.3427,976.4366,1461.884
