_file_name,Timestamp,my_ship,ship_id,ship_type,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-10-31 09:01:00,0,0,Fishing,185,36,4,36.352546,127.387039,0.25,297.69,0.0000,300.8381,166.1495,219.7072
frame_1,2025-10-31 09:01:00,1,2,Boat,157,21,3,36.348141,127.385294,0.75,59.55,0.0000,0.0000,0.0000,0.0000
frame_1,2025-10-31 09:01:00,0,7,Boat,78,19,2,36.355030,127.390883,0.77,248.29,202.3964,403.1808,66.7336,24.5458
frame_2,2025-10-31 09:02:00,0,0,Fishing,185,36,4,36.352744,127.386263,0.42,295.80,224.9619,325.1945,286.8555,155.3597
frame_2,2025-10-31 09:02:00,0,1,Fishing,278,40,2,36.354413,127.388577,1.18,202.14,569.3284,341.5533,61.0447,112.1410
frame_2,2025-10-31 09:02:00,1,2,Boat,157,21,3,36.348148,127.386481,1.37,10.44,0.0000,0.0000,0.0000,0.0000
frame_2,2025-10-31 09:02:00,0,4,Cruise,127,15,4,36.353425,127.381775,0.77,108.34,0.0000,250.4735,235.6525,255.4842
frame_2,2025-10-31 09:02:00,0,5,Cruise,134,32,4,36.355314,127.385766,1.33,254.49,0.0000,292.9438,634.0495,174.2233
frame_2,2025-10-31 09:02:00,0,7,Boat,78,19,2,36.353753,127.388624,1.31,218.15,597.5856,409.0217,64.2617,34.4984
frame_3,2025-10-31 09:03:01,1,2,Boat,157,21,3,36.352172,127.388544,5.09,29.86,0.0000,0.0000,0.0000,0.0000
frame_4,2025-10-31 09:04:01,1,2,Boat,157,21,3,36.364444,127.390406,8.00,340.05,0.0000,0.0000,0.0000,0.0000
frame_5,2025-10-31 09:05:02,1,2,Boat,157,21,3,36.369431,127.386234,1.71,267.59,0.0000,0.0000,0.0000,0.0000
frame_6,2025-10-31 09:06:03,1,2,Boat,157,21,3,36.366235,127.379785,6.37,225.19,0.0000,0.0000,0.0000,0.0000
frame_6,2025-10-31 09:06:03,0,3,Boat,126,47,2,36.356342,127.372833,1.15,90.39,372.6858,396.8803,51.6223,15.1835
frame_6,2025-10-31 09:06:03,0,5,Cruise,134,32,4,36.355042,127.370089,0.93,89.92,312.0195,347.1287,270.1118,70.5482
frame_6,2025-10-31 09:06:03,0,6,Boat,33,49,4,36.348938,127.374793,0.48,40.01,144.2645,393.9412,31.1311,11.4287
frame_7,2025-10-31 09:07:04,1,2,Boat,157,21,3,36.363881,127.378220,1.93,186.78,0.0000,0.0000,0.0000,0.0000
frame_7,2025-10-31 09:07:04,0,4,Cruise,127,15,4,36.348170,127.387872,1.84,9.11,0.0000,342.8443,134.0112,78.7457
frame_7,2025-10-31 09:07:04,0,5,Cruise,134,32,4,36.357048,127.369401,0.68,101.12,845.2194,319.5514,178.7806,123.3134
frame_7,2025-10-31 09:07:04,0,6,Boat,33,49,4,36.350886,127.375909,1.24,50.23,529.9886,396.0958,42.9224,14.1642
frame_8,2025-10-31 09:08:04,1,2,Boat,157,21,3,36.357667,127.378284,3.85,168.55,0.0000,0.0000,0.0000,0.0000
frame_8,2025-10-31 09:08:04,0,6,Boat,33,49,4,36.354114,127.378579,1.99,61.31,498.4102,425.5013,178.0023,57.6176
frame_9,2025-10-31 09:09:05,1,2,Boat,157,21,3,36.356122,127.380365,2.31,88.77,0.0000,0.0000,0.0000,0.0000
frame_9,2025-10-31 09:09:05,0,4,Cruise,127,15,4,36.354613,127.394654,1.53,255.89,524.1719,341.7675,178.0193,80.8061
frame_9,2025-10-31 09:09:05,0,6,Boat,33,49,4,36.358300,127.383044,2.71,82.06,0.0000,433.4354,112.6435,90.8142
frame_9,2025-10-31 09:09:05,0,7,Boat,78,19,2,36.358224,127.390889,1.46,237.75,374.1060,398.8981,41.0168,18.1818
frame_10,2025-10-31 09:10:05,1,2,Boat,157,21,3,36.356774,127.385888,2.05,58.59,0.0000,0.0000,0.0000,0.0000
frame_10,2025-10-31 09:10:05,0,4,Cruise,127,15,4,36.357876,127.395302,1.08,236.50,679.4821,297.4913,344.5179,165.5223
frame_10,2025-10-31 09:10:05,0,6,Boat,33,49,4,36.362603,127.389435,3.12,155.05,109.2005,410.2246,117.9256,30.7782
frame_10,2025-10-31 09:10:05,0,7,Boat,78,19,2,36.361118,127.388849,1.32,211.26,194.4631,414.4122,58.5932,44.7063
